"","gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","Churn","tenure_category"
"121","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.8,"No","4-5 years"
"122","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.7,"No","Under 1 year"
"123","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,"Yes","Under 1 year"
"124","Female","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",50.7,"No","Under 1 year"
"125","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.85,"No","Under 1 year"
"126","Male","No","No","No","Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","Yes","Electronic check",88.95,"No","2-4 years"
"127","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",78.05,"Yes","2-4 years"
"128","Male","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",23.55,"No","Over 5 years "
"129","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.75,"No","Under 1 year"
"130","Male","Yes","No","No","No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",56.45,"No","Over 5 years "
"131","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.95,"No","1-2 years"
"132","Female","No","Yes","Yes","No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",58.6,"Yes","2-4 years"
"133","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",50.55,"No","Over 5 years "
"134","Male","No","No","No","No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",35.45,"Yes","Under 1 year"
"135","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.35,"Yes","Under 1 year"
"136","Female","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",25.7,"No","2-4 years"
"137","Female","No","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75,"No","1-2 years"
"138","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.2,"No","Over 5 years "
"139","Male","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",19.6,"No","4-5 years"
"140","Female","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.45,"Yes","Under 1 year"
"141","Female","Yes","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",88.05,"No","Over 5 years "
"142","Female","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",71.15,"Yes","Under 1 year"
"143","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",101.05,"No","Over 5 years "
"144","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","One year","Yes","Credit card (automatic)",84.3,"No","Over 5 years "
"145","Male","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",23.95,"No","Over 5 years "
"146","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)",99.05,"No","Over 5 years "
"147","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",19.6,"No","Under 1 year"
"148","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.65,"Yes","Under 1 year"
"149","Male","No","No","Yes","Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",64.5,"No","2-4 years"
"150","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Mailed check",69.5,"No","1-2 years"
"151","Female","No","Yes","Yes","Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",68.55,"No","Under 1 year"
"152","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",95,"Yes","Under 1 year"
"153","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",108.15,"No","Over 5 years "
"154","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",86.1,"No","Over 5 years "
"155","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.7,"No","Under 1 year"
"156","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",80.9,"No","1-2 years"
"157","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",84.15,"No","1-2 years"
"158","Male","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.15,"No","1-2 years"
"159","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","No","Yes","No","Two year","No","Mailed check",64.25,"No","1-2 years"
"160","Male","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",25.7,"No","Under 1 year"
"161","Female","No","No","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",56,"No","1-2 years"
"162","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",82.4,"Yes","1-2 years"
"163","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,"No","Under 1 year"
"164","Male","No","No","No","Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",73.9,"No","4-5 years"
"165","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.6,"No","Under 1 year"
"166","Male","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.9,"No","Over 5 years "
"167","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.9,"Yes","Under 1 year"
"168","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",89.05,"No","Over 5 years "
"169","Male","Yes","Yes","No","No","No phone service","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",45.3,"Yes","4-5 years"
"170","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",20.4,"No","1-2 years"
"171","Male","No","Yes","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","One year","Yes","Bank transfer (automatic)",84.25,"No","2-4 years"
"172","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.4,"Yes","Under 1 year"
"173","Male","No","Yes","No","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",81.95,"No","1-2 years"
"174","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",94.85,"Yes","4-5 years"
"175","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",20.55,"No","2-4 years"
"176","Female","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",24.7,"No","2-4 years"
"177","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.45,"Yes","1-2 years"
"178","Female","Yes","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",76.45,"Yes","Under 1 year"
"179","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",105.35,"No","1-2 years"
"180","Male","No","Yes","No","Yes","No","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",20.55,"No","Over 5 years "
"181","Female","No","No","No","No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",29.95,"Yes","Under 1 year"
"182","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.3,"No","Under 1 year"
"183","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",84.5,"Yes","Under 1 year"
"184","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",74.75,"No","2-4 years"
"185","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",79.25,"Yes","1-2 years"
"186","Female","No","Yes","No","No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",24.8,"Yes","Under 1 year"
